Generation,P0_meanFit,P0_varFit,relFitness,meanHI
0,0.8145059999999996,0.0,1.0,1.0494505494505497
1,0.8237809999999982,0.0016339999999999974,1.0113872703209086,0.9995004995004994
2,0.81390153,0.00011772000000000005,0.9992578691869671,0.9990659340659339
3,0.8105119699999999,0.00053618,0.9950963774361391,1.0004557942057941
4,0.8096664000000002,0.0009340000000000003,0.994058238981665,1.0014622877122874
5,0.8104192900000001,0.0011488600000000002,0.9949825906745932,1.0025049950049947
6,0.81164133,0.0012339700000000002,0.9964829356689822,1.0034690309690315
7,0.81296873,0.00125727,0.9981126351432646,1.0035364635364639
8,0.8146358799999999,0.0012513800000000003,1.0001594586166336,1.0036426073926075
9,0.81602122,0.0012269,1.0018602932329532,1.0034852647352648
10,0.8176236399999998,0.0011794199999999998,1.0038276452229942,1.0034502997002996
20,0.8305776899999998,0.0009903900000000003,1.0197318251799254,0.9910189810189809
30,0.8430566400000002,0.0011667699999999997,1.0350527067940567,0.9633691308691309
40,0.8574766799999999,0.00146567,1.052756738440232,0.9253459040959042
50,0.8751948400000006,0.0017523400000000009,1.07450999747086,0.877356393606394
60,0.8958821599999999,0.00196163,1.0999086071803035,0.821098901098901
70,0.9175442599999998,0.0019880200000000005,1.1265039913763675,0.7628646353646354
80,0.9378466299999999,0.0018051299999999994,1.1514299833273172,0.7091658341658339
90,0.9556450800000001,0.0014961699999999994,1.1732818174451751,0.6628246753246753
100,0.96929156,0.0011535500000000004,1.1900361200531364,0.6276535964035964
