Generation,P0_meanFit,P0_varFit,relFitness,meanHI
0,1.0,0.0,1.0,1.0494505494505495
1,1.0,0.0,1.0,0.9995004995004997
2,0.9898881199999999,0.0010775900000000007,0.9898881199999999,1.0038061938061937
3,0.9861967500000002,0.00110313,0.9861967500000002,1.0078356643356647
4,0.9846134199999999,0.0008286900000000001,0.9846134199999999,1.0103786213786214
5,0.9839789699999999,0.00059124,0.9839789699999999,1.0119383116883116
6,0.9837413300000009,0.00044090999999999987,0.9837413300000009,1.0128886113886115
7,0.9837453599999995,0.00034857000000000025,0.9837453599999995,1.0137405094905096
8,0.9838426100000003,0.00029630000000000005,0.9838426100000003,1.0143821178821175
9,0.9840172899999999,0.00026392999999999995,0.9840172899999999,1.0149660339660336
10,0.9841942499999994,0.00024247000000000008,0.9841942499999994,1.0155004995004995
20,0.9860068200000006,0.00017792999999999997,0.9860068200000006,1.019840659340659
30,0.9875076300000001,0.00015073000000000007,0.9875076300000001,1.0231845654345653
40,0.9889516599999999,0.00013232999999999997,0.9889516599999999,1.0263653846153848
50,0.9901012500000003,0.00011559999999999995,0.9901012500000003,1.0288486513486512
60,0.9911795200000002,0.00010259,0.9911795200000002,1.03116958041958
70,0.99226174,9.026000000000005e-05,0.99226174,1.0334802697302696
80,0.9932196399999996,7.863999999999998e-05,0.9932196399999996,1.0355007492507493
90,0.9939715200000007,7.027999999999997e-05,0.9939715200000007,1.037072427572428
100,0.99450212,6.295e-05,0.99450212,1.0381698301698299
